epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.856,1.31069,2.1966,1.517,0.65508,0.59095,0.62237,0.45597,0.9418,2.6567,1.2131,0.000475857,0.000475857,0.000475857
2,1051.72,1.25479,1.6205,1.49668,0.72098,0.6334,0.65845,0.50473,0.87592,1.23788,1.15783,0.000857924,0.000857924,0.000857924
3,1493.73,1.19978,1.46688,1.45997,0.69159,0.6504,0.6651,0.53753,0.7967,1.15065,1.13703,0.00114568,0.00114568,0.00114568
4,1948.18,1.14274,1.34524,1.42437,0.7399,0.68655,0.70817,0.56406,0.7207,0.97653,1.082,0.00100459,0.00100459,0.00100459
5,2423.6,1.09159,1.2536,1.39514,0.79432,0.70375,0.73071,0.58142,0.70383,0.84328,1.06681,0.000863116,0.000863116,0.000863116
6,2881.62,1.05198,1.16744,1.36095,0.80163,0.70333,0.74287,0.59861,0.69206,0.85269,1.06185,0.000721645,0.000721645,0.000721645
7,3332.15,1.01246,1.09842,1.32985,0.83229,0.74657,0.77249,0.62124,0.66181,0.79159,1.02857,0.000580174,0.000580174,0.000580174
8,3773.93,0.98552,1.04843,1.30959,0.81582,0.75186,0.7773,0.63111,0.63799,0.76051,1.0209,0.000438703,0.000438703,0.000438703
9,4216.03,0.93975,0.99231,1.28384,0.82258,0.77536,0.79655,0.64079,0.61577,0.67127,1.01107,0.000297232,0.000297232,0.000297232
10,4655.7,0.92275,0.93692,1.26599,0.8433,0.76918,0.80411,0.65049,0.58073,0.65431,0.98942,0.000155761,0.000155761,0.000155761
