epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.692,1.85502,2.67804,1.65762,0.35206,0.26871,0.26662,0.10979,1.92721,3.93873,2.05435,0.000663283,0.000663283,0.000663283
2,224.768,1.85717,2.11889,1.66377,0.5135,0.50379,0.49966,0.2124,1.93553,2.58834,1.99892,0.00124217,0.00124217,0.00124217
3,318.552,1.91234,1.91683,1.68253,0.56655,0.39453,0.44586,0.18703,2.03188,2.07431,1.97385,0.00173306,0.00173306,0.00173306
4,424.354,1.86134,1.80091,1.66057,0.54931,0.47239,0.47279,0.19939,2.02101,2.33994,1.96998,0.001604,0.001604,0.001604
5,538.638,1.80363,1.66227,1.59157,0.59005,0.55807,0.57803,0.26861,1.84455,1.68405,1.76538,0.001472,0.001472,0.001472
6,856.722,1.801,1.6229,1.66117,0.59304,0.57178,0.54962,0.2423,1.80851,1.69547,1.83402,0.00134,0.00134,0.00134
7,1168.1,1.75781,1.51083,1.64582,0.73653,0.61054,0.69904,0.32621,1.8471,1.53869,1.84111,0.001208,0.001208,0.001208
8,1482,1.73465,1.43512,1.62192,0.69389,0.64785,0.71998,0.3587,1.71868,1.42186,1.67949,0.001076,0.001076,0.001076
9,4500.14,1.68945,1.33594,1.56515,0.76818,0.67899,0.76669,0.40397,1.64238,1.3056,1.61644,0.000944,0.000944,0.000944
10,4564.73,1.65096,1.28202,1.54539,0.80811,0.70675,0.79459,0.42851,1.62113,1.22639,1.59982,0.000812,0.000812,0.000812
11,4628.21,1.61634,1.24851,1.52163,0.79451,0.74479,0.82085,0.44458,1.55311,1.18238,1.56726,0.00068,0.00068,0.00068
12,4691.94,1.56733,1.18947,1.49583,0.82514,0.7092,0.82076,0.45138,1.52175,1.16531,1.53089,0.000548,0.000548,0.000548
13,4755.71,1.52581,1.1145,1.45151,0.84999,0.72883,0.83811,0.47527,1.48725,1.04404,1.5081,0.000416,0.000416,0.000416
14,4822.3,1.5015,1.0737,1.43866,0.81723,0.75711,0.83539,0.47819,1.49794,1.01882,1.51556,0.000284,0.000284,0.000284
15,4885.6,1.46617,1.02566,1.41224,0.85158,0.75337,0.84816,0.48825,1.47514,0.98915,1.49733,0.000152,0.000152,0.000152
