Report_ID,Department,Incident_Type,Doc_Type,Date,Location,Program,Officer,Summary,Key_Detail
RPT_001,Benton County Sheriffs Office,1033 Training Proposal,Training Proposal,"May 26, 2015",Benton County,Law Enforcement Support,Jeremy Guyll,1033 Training Proposal. Detail: Major Nathan Atchison Chief Deputy R.L. Conner Major Shawn Holloway,1033 Training Proposal
RPT_002,Benton County Sheriffs Office,1033 Training Proposal,Training Proposal,Unknown,the United States Army,Law Enforcement Support,Jeremy Guyll,"1033 Training Proposal. Detail: , Major Nathan Atchison Chief Deputy R.L. Conner Major Shawn Holloway",1033 Training Proposal
RPT_003,Benton County Sheriff’s Office,1033 Training Proposal,Policy Document,6/1/16,Benton County Sheriff's,MRAP,Vehicle,1033 Training Proposal. Detail: The Benton County Sheriff's Office obtained a Mine Resistant Ambush Protected (MRAP),1033 Training Proposal
RPT_004,Benton Police Department,General Incident Report,Lesson Plan,Unknown,Unknown,General Operations,I.  III,General Incident Report. Detail: ARMORED RESCUE VEHICLE (ARV) OPERATIONS,General Incident Report
RPT_005,Benton Police Department,1033 Training Proposal,Training Proposal,4/24/2015,Unknown,Law Enforcement Support,C. ARV Maintenance,1033 Training Proposal. Detail: Benton Police Department Policy:,1033 Training Proposal
RPT_006,Corporal Mike Calnan  Bentonville Police Department,1033 Training Proposal,Training Proposal,"July 1, 2014",Little Rock,Law Enforcement Support,Plaza Drive,1033 Training Proposal. Detail: Law Enforcement Standards and Training,1033 Training Proposal
RPT_007,Bryant Police Department,1033 Training Proposal,Training Proposal,"July 2,
2014",Arkansas,Law Enforcement Support,Roya Lane Bryant,1033 Training Proposal. Detail: Phone: (501) 943-0943 Fax: (501) 943-0977,1033 Training Proposal
RPT_008,Police Unit,1033 Training Proposal,Lesson Plan,Unknown,Unknown,Law Enforcement Support,MRAP,1033 Training Proposal. Detail: Mine Resistant Ambush Protected Vehicle (MRAP),1033 Training Proposal
RPT_009,Cabot Police Department,1033 Training Proposal,Training Proposal,Unknown,Unknown,Law Enforcement Support,Unknown,1033 Training Proposal. Detail: Annual MRAP Certification. Requires a minimum of % hour of evaluated driving while completing the following:,1033 Training Proposal
RPT_010,Craighead County Sheriff's Office,1033 Training Proposal,Training Proposal,"May 29, 2015",Craighead County,Law Enforcement Support,Unknown,"1033 Training Proposal. Detail: As of the 29"" day of May 2015, the Craighead County Sheriff's Office has implemented a policy",1033 Training Proposal
RPT_011,Chief Deputy  Craighead County Sheriff's Office,General Incident Report,Training Proposal,Unknown,Asst,General Operations,Justin Rolland,"General Incident Report. Detail: e Falls, smashed and pinched extremities",General Incident Report
RPT_012,Craighead County Sheriff's Office,1033 Training Proposal,Training Proposal,May 2015,the United States Government,Law Enforcement Support,Randy Sharp,1033 Training Proposal. Detail: The following documentation is intended to document to intended use and training of the Mine Resistatant,1033 Training Proposal
RPT_013,INSTRUCTOR,1033 Training Proposal,Lesson Plan,Unknown,Unknown,Law Enforcement Support,Randy Sharp,1033 Training Proposal. Detail: CLEST Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations,1033 Training Proposal
RPT_014,Craighead County Sheriff's Office,1033 Training Proposal,Training Proposal,Unknown,Craighead County Sheriff's,Law Enforcement Support,Unknown,1033 Training Proposal. Detail: Craighead County Sheriff's Office Mine Resistant Ambush Protection Vehicle,1033 Training Proposal
RPT_015,Crawford County Sheriff,1033 Training Proposal,Training Proposal,11 June 2015,Washington Avenue North Battle Creek,Law Enforcement Support,Brandon Trent,1033 Training Proposal. Detail: Crawford County Sheriff's Department,1033 Training Proposal
RPT_016,Crawford County Sheriff's Office,1033 Training Proposal,Lesson Plan,"January 27, 2015",the United States Government,Law Enforcement Support,Rick Dahlem Swat Coordinator,1033 Training Proposal. Detail: The following documentation is intended to document the intended use and training of the Mine Resistant,1033 Training Proposal
RPT_017,MRAP Crawford County Sheriff's Office,1033 Training Proposal,Training Proposal,Unknown,Crawford County Sheriff's,Law Enforcement Support,Rick Dahlem,1033 Training Proposal. Detail: CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations,1033 Training Proposal
RPT_018,Fort Smith Police Department,1033 Training Proposal,Training Proposal,"January 19, 2015",Unknown,Law Enforcement Support,McMillen,1033 Training Proposal. Detail: The following documentation is intended to document the intended use and training of the Mine Resistatant,1033 Training Proposal
RPT_019,Fort Smith Police Department,1033 Training Proposal,Lesson Plan,"June 30th, 2014",Unknown,Law Enforcement Support,McMillen,1033 Training Proposal. Detail: CLEET Continuing Education Course,1033 Training Proposal
RPT_020,Hot Springs Police Department,1033 Training Proposal,Training Proposal,5/5/15,Hot Springs Airport.,MRAP Operations,Ofc. Eric Wacaster,1033 Training Proposal. Detail: Hot Springs Police Department S.W.A.T. Training,1033 Training Proposal
RPT_021,Hot Springs Police Department,1033 Training Proposal,Lesson Plan,Unknown,Rostan,Law Enforcement Support,Eric Wacaster,1033 Training Proposal. Detail: Hot Springs Police Department S.W.A.T. Training,1033 Training Proposal
RPT_022,Hot Springs Police Department,1033 Training Proposal,Training Proposal,Unknown,Unknown,Law Enforcement Support,Shut Down,1033 Training Proposal. Detail: Hot Springs Police Department S.W.A.T. Training,1033 Training Proposal
RPT_023,This letter is to inform you that the Independence County Sheriff's Office,1033 Training Proposal,Training Proposal,05/21/2015,the United States Government,Law Enforcement Support,Batesville,1033 Training Proposal. Detail: STEVE JEFFERY P.O. Box 4236 Tel: 870-793-8838,1033 Training Proposal
RPT_024,Jacksonville AR Police Department,1033 Training Proposal,Training Proposal,"January 14, 2015",the United States  Government,Law Enforcement Support,Brett Hibbs  Date,1033 Training Proposal. Detail: The following documentation is intended to document to intended use and training of the Mine Resistatant,1033 Training Proposal
RPT_025,INSTRUCTOR,1033 Training Proposal,Lesson Plan,Unknown,Unknown,Law Enforcement Support,Brett Hibbs  8.0 Hours,1033 Training Proposal. Detail: Mine Resistant Ambush Protection Vehicle Operations,1033 Training Proposal
RPT_026,The Jefferson County Sheriff’s Office,1033 Training Proposal,SOP,"January 13, 2015",• Mount,Law Enforcement Support,Vehicle,1033 Training Proposal. Detail: Mine Resistant Ambush Protected (MRAP) Vehicle,1033 Training Proposal
RPT_027,Rules and Regulations of the Little Rock Police Department,Narcotics Investigation,Training Proposal,04/26/2012,Departmental,Narcotics Unit,Responsibilities  Be,Narcotics Investigation. Detail: DISTRIBUTION: REPLACES: NUMBER:,Narcotics Investigation
RPT_028,Departmental,1033 Training Proposal,Policy Document,5600-12-3,Hobbs,Law Enforcement Support,Nightsun,1033 Training Proposal. Detail: 13. Oversee the LESO 10-33 program in which government property may be,1033 Training Proposal
RPT_029,Little Rock Police Department,1033 Training Proposal,Training Proposal,"May 21, 2015",Arkansas,Law Enforcement Support,James Ray,1033 Training Proposal. Detail: Kenton Buckner Se (501) 371-4605,1033 Training Proposal
RPT_030,City of Little Rock  Police Department,1033 Training Proposal,Training Proposal,"June 17, 2014",West Markham,Law Enforcement Support,Robertson,1033 Training Proposal. Detail: Police Department 700 West Markham,1033 Training Proposal
RPT_031,the Department of Defense Surplus Program,1033 Training Proposal,Training Proposal,Unknown,Texarkana,Law Enforcement Support,Paul Smith,1033 Training Proposal. Detail: © Smith Integrated Technologies,1033 Training Proposal
